row_index,name,website,AI_Status,AI_Confidence,AI_Evidence,AI_Checked_At
2,Agoge Life Inc.,https://www.agoge.life,Active,90,"Chandler Chamber of Commerce listing updated July 2025, operating website agoge.com, founded by veteran in 2022, ASU Chandler Endeavor incubator member, products sold to businesses including Bouldering Project in Tempe and Scottsdale Hydrotherapy.",2026-03-05 14:13:36
3,And I Like It,http://www.andilikeit.com/,Active,92,"Website is live and regularly updated (latest content from October 2025). Active participation at farmers markets and events, online ordering available, multiple local pickup locations operational, recent reviews from 2025 confirm business operations.",2026-03-05 14:13:47
4,Anthem Snacks,https://anthemsnacks.com/,Active,95,"Website is live and fully functional with recent product reviews (Feb 2025), active social media (25K Instagram followers), products available in national retailers (Lowe's, Wegmans, United Airlines), and SAM registration shows current status as Active.",2026-03-05 14:13:59
5,"A Mindful Walk Counseling, LLC",https://amindfulwalkcounseling.com,Active,90,"Website is live and fully functional with active scheduling system, current contact information displayed on multiple platforms (Psychology Today, Nextdoor, Open Path Collective), and SimplePractice client portal operational. Therapist Andrea Villa lists availability Tuesday-Thursday with active phone and email contact methods.",2026-03-05 14:14:11
6,Aqua Body,https://www.drinkbodyaqua.com/,Active,95,"Website is fully operational with recent content (December 2025). Company is distributing to 388 Winn Dixie locations and multiple other retailers. Active business registrations found, recent sponsorship activities documented, functional e-commerce shop, and contact pages available.",2026-03-05 14:14:23
7,Arbo’s Cheese Dip,https://www.arbosdip.com,Active,95,"Website is live and fully functional with online ordering capability. Active social media presence on Instagram (4,171 followers, 573 posts) and other platforms. Product available for purchase in major retailers including Walmart, Kroger, Publix, Schnucks and Harris Teeter across 20+ states. Recent content from October 2025 confirms ongoing operations.",2026-03-05 14:14:53
8,Battle Bars,https://www.battlebars.com/,Active,90,"Website is fully operational with functional e-commerce, recent product listings, and live customer service. Florida business registration shows active status. Recent news from May 2025 confirms company operations.",2026-03-05 14:15:16
9,Bomb Azz Lemonade,https://www.bombazzlemonade.com/,Active,92,Website is live and functional. Business participated in Killeen events in 2024 including January Veggie & Art Fest and October Armed Forces Natural Hair & Health Expo. Owner Luvina Sabree is actively involved in community events. Multiple current business listings confirm operational status.,2026-03-05 14:15:44
10,Bon AppéSweet,https://Www.bonappesweet.com,Active,90,"Website is fully functional with active e-commerce, recently appeared on Shark Tank Jan 14 2026, factory remains in Leonardtown per founder, products available at major retailers, active social media presence.",2026-03-05 14:16:07
11,BUCKET OF BREAD,https://bucketofbread.com/,Active,95,"Website bucketofbread.com is live and recently updated (June 8, 2025); active e-commerce with product sales, live LinkedIn activity (1 week old posts), featured in Quality Business Awards 2026, hosting live events, processing orders with 24-hour shipping.",2026-03-05 14:16:38
12,Burn Pit BBQ,https://burnpitbbq.com/,Active,95,"Website is fully operational and recently updated with content from October 2025 including Walmart Golden Ticket award announcement. Business is actively selling products online, maintaining social media presence, and expanding distribution.",2026-03-05 14:17:32
13,Chai Five Organics,https://www.chaifive.co,Uncertain,0,"Parse error: Based on my search results, I have found clear evidence that Chai Five Organics is actively operatin",2026-03-05 14:17:53
14,Chef Tiffany Moore Gourmet Foods,https://www.ChefTiffanyMoore.com,Active,92,"Website is fully functional with product catalog, order capabilities, and multiple recent business listings showing active operations including 2024 Flavor of Georgia finalist status, LinkedIn profile updated December 2025, and products available on Walmart and Uber Eats.",2026-03-05 14:18:21
15,Clarisssa's Kitchen and Catering,https://www.clarrisaskitchen.com/,Active,95,"Website is fully operational with booking capabilities, recent Google reviews from 2025, 5.0 star rating with 54 reviews, established BBB profile, active business listings on multiple platforms, operational event venue with posted hours, and phone contact information all indicate active business operations.",2026-03-05 14:18:50
16,Cole Seasonings,https://www.coleseasonings.com/,Uncertain,0,No text response from model.,2026-03-05 14:19:18
17,"Crazy Mike’s Beef Jerky Company, LLC",https://www.crazymikesjerky.com/,Active,88,Website is live and operational at crazymikesjerky.com with functioning e-commerce. Yelp listing updated May 2024. Products available through multiple distributors including JerkyBrands. Company actively selling online and wholesale.,2026-03-05 14:19:30
18,Deep Sea Salt Company,https://www.deepseasaltco.com/,Uncertain,35,Company appears in Florida For Good directory but website at provided URL could not be verified as active. No current Yelp listing found for this specific business in Orlando. Limited evidence of current operations.,2026-03-05 14:19:55
19,Extra Ordinary Delights,https://eodfudge.com/,Active,92,"Website is live and fully functional (eodfudge.com) with current product catalog, active social media presence on Instagram (@eodconfections) with 11K followers, recent blog posts dated March 2024, and BBB listing showing A+ rating with active business incorporation.",2026-03-05 14:20:21
20,Fire Team Whiskey,https://www.fireteamwhiskey.com,Uncertain,35,"Website is live and functional, but Florida LLC was voluntarily dissolved on 12/26/2023. Recent media appearance (3/5/2025) suggests business may continue as virtual services. Conflicting signals regarding operational status.",2026-03-05 14:20:54
21,Frag Out Flavor,https://fragoutflavor.com/,Active,92,"Website is fully functional with recent product inventory, active social media presence with 18K followers, multiple product pages with current pricing and orders being accepted, FAQ page with updated information mentioning Golden, Colorado facility expansion.",2026-03-05 14:21:18
22,Good People Popcorn,https://www.gppopcorn.com,Uncertain,45,"Website (gppopcorn.com) is live with functioning pages, online ordering, and contact information. However, Yelp lists the business as 'CLOSED' (updated September 2025). Limited storefront hours (Friday-Saturday only) are listed on the website, which may explain the conflicting information. Direct phone verification recommended.",2026-03-05 14:21:52
23,Grill Your Ass Off,https://grillyourassoff.com,Active,95,"Website is fully functional with active e-commerce, recent customer reviews, active wholesale operations with contact info and phone support, presence on Walmart, Amazon, and Everest platforms, and Salado Texas address listed in legal pages.",2026-03-05 14:22:18
24,Health2O,https://www.drinkbodyaqua.com/,Uncertain,0,Parse error: As of,2026-03-05 14:22:45
25,Honey Baked Ham of White Plains,https://www.honeybaked.com/2710,Likely Closed,70,"Yelp listing updated February 2026 shows 'CLOSED' status. However, alternative HoneyBaked websites (myhoneybakedstore.com and brand site) show active online ordering. DoorDash shows 'Temporarily closed'. Conflicting signals suggest unclear operational status.",2026-03-05 14:23:09
26,Island Spice Jamaican Restaurant,https://a.co/d/8aOBvCj,Active,90,"Website islandspiceks.com is live with functioning order page, listed on Google and Yelp with delivery/takeout available, TripAdvisor reviews show recent owner responses, Yellow Pages lists hours as 2:00 pm - 9:00 pm.",2026-03-05 14:23:38
27,J. Lee's Gorument BBQ Sauce,https://www.jleessauce.com/,Active,95,Website is fully functional with current product listings and recent news coverage from September 2024 confirms ongoing operations with new product releases.,2026-03-05 14:23:55
28,JB's Spice Blends,https://jbspiceblends.com/,Active,92,"Website is live with product pages, functional e-commerce, active contact information, products available for purchase, and current listings on retailer sites including local stores in Ozark.",2026-03-05 14:24:31
29,Jus Sandwiches,https://jussandwiches.com/,Active,78,"Website is live with 2025 copyright notice. Multiple current platforms list the business (Yelp updated June 2025, eZcater, Toast, Too Good To Go, GrubHub, Grubhub). BBB accreditation filed May 2024. Business established 2018, owner Karen Roberts. Address listed as 1200 E. 79th Street Chicago.",2026-03-05 14:24:53
30,Kind Cookie Company,https://kindcookiecompany.com/,Active,75,"Website is live and functional with product information and customer reviews. Instagram appears to have recent activity. Website mentions 'Please check back for updates' suggesting ongoing operations. However, the most recent media coverage is from December 2022, and Kind Cookie Company is not prominently listed in current Yelp searches for Pinehurst bakeries, leaving some uncertainty about current active status.",2026-03-05 14:25:18
31,"King’s Coffee, LLC",https://www.kingscoffee.io,Uncertain,45,"Found references to King's Coffee, LLC in Irving, TX in government contractor databases with last contract award dated 12/03/2021. The kingscoffee.io website is live but shows business address in Longwood, FL and Marietta, GA - not Irving, TX. No current active social media or recent updates found for Irving location specifically. Company appears to exist but current operational status in Irving location is unclear.",2026-03-05 14:25:48
32,Life by Dallas Inc. / Dalla' True Pop Popcorn,https://www.dallaspopcorn.com,Active,92,Website (dallaspopcorn.com) is fully functional with recent customer reviews dated August-September 2025. Instagram account active. LinkedIn profile shows current business information. Women Business Collaborative lists 25th anniversary in 2024. Company acquiring distribution contracts with major vendors as of 2025.,2026-03-05 14:26:13
33,Lift Chocolate,https://www.liftchocolates.com/,Active,95,Website liftchocolates.com is live and fully functional with current products and pricing; Yelp listing updated December 2025 showing current hours Mon-Fri 9am-5pm; LinkedIn shows recent activity from 1 month ago; multiple active social media accounts; phone number (303) 447-1001 confirmed operational.,2026-03-05 14:26:43
34,Local Honey Bee Company,https://localhoneybeecompany.com,Uncertain,0,No text response from model.,2026-03-05 14:27:12
35,Maggie’s Custom Sweet Treats,https://www.maggiescustomsweettreats.com,Active,88,"Website is operational with current product offerings and active delivery schedule (Wed-Sat, 3-8pm). Multiple recent Instagram posts confirm ongoing business operations.",2026-03-05 14:27:26
36,Maraq Gourmet Soup Shop LLC.,https://maraqgourmetsoupshop.com/,Uncertain,0,No text response from model.,2026-03-05 14:27:51
